City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Dingle,PH,10.9995,122.6711,88.11,60,10,3.69,clear sky
318,Hualmay,PE,-11.0964,-77.6139,62.98,85,56,8.68,broken clouds
319,Shahreza,IR,32.0339,51.8794,70.29,15,0,0.74,clear sky
320,Juegang,CN,32.3174,121.1855,84.97,66,2,16.51,clear sky
321,Olga,RU,43.7444,135.2892,53.13,71,98,10.07,overcast clouds
322,Saint-Leu,RE,-21.15,55.2833,68.83,74,1,8.77,clear sky
323,Libenge,CD,3.65,18.6333,68.13,98,81,0.85,light rain
324,Coquimbo,CL,-29.9533,-71.3436,53.33,66,100,4.61,overcast clouds
325,Codrington,AU,-38.2667,141.9667,57.96,62,99,18.66,overcast clouds
326,Nizwa,OM,22.9333,57.5333,88.36,32,4,2.17,clear sky
327,Winnemucca,US,40.973,-117.7357,73.45,18,75,6.91,broken clouds
328,Ekhabi,RU,53.5102,142.9671,47.75,69,25,9.66,scattered clouds
329,Margate,GB,51.3813,1.3862,56.3,86,7,1.99,clear sky
330,Kununurra,AU,-15.7667,128.7333,87.78,62,100,11.5,overcast clouds
331,Carnarvon,AU,-24.8667,113.6333,71.98,36,0,15.05,clear sky
332,Kyshtovka,RU,56.555,76.6271,42.82,32,0,6.64,clear sky
333,Salinopolis,BR,-0.6136,-47.3561,78.01,83,66,5.66,broken clouds
334,Rigaud,CA,45.4793,-74.3024,64.98,92,93,4.34,overcast clouds
335,Rochegda,RU,62.8,43.25,66.25,66,84,6.35,broken clouds
336,North Platte,US,41.1239,-100.7654,64.38,59,40,5.01,scattered clouds
337,Lompoc,US,34.6391,-120.4579,62.78,75,0,25.99,clear sky
338,Lodja,CD,-3.4833,23.4333,68.68,88,63,1.72,broken clouds
339,Gizo,SB,-8.103,156.8419,83.89,70,56,9.06,broken clouds
340,Chuy,UY,-33.6971,-53.4616,42.46,78,30,6.73,scattered clouds
341,Eureka,US,40.8021,-124.1637,61.36,75,100,1.01,overcast clouds
342,Pisco,PE,-13.7,-76.2167,61.02,88,29,3.44,mist
